4	858137	859144	+	YDR204W
4	859346	861520	+	YDR205W
4	862054	864708	+	YDR206W
4	865012	867522	-	YDR207C
4	871036	871449	-	YDR209C
4	871074	871301	+	YDR210W
4	889751	892492	+	YDR213W
5	195168	196517	+	YER020W
5	202192	204963	+	YER024W
5	208979	210232	-	YER027C
5	210692	211876	-	YER028C
5	213437	213898	+	YER030W
5	214076	214747	-	YER031C
5	218057	221287	-	YER033C
7	91432	92382	+	YGL212W
7	92512	93591	+	YGL211W
7	93792	94460	+	YGL210W
7	95858	97006	+	YGL209W
7	97338	98585	+	YGL208W
7	108158	110404	+	YGL205W
7	112475	114664	-	YGL203C
7	423961	425007	+	YGL039W
7	427297	427947	-	YGL037C
7	428601	431330	+	YGL036W
7	431548	433062	-	YGL035C
7	433214	433579	-	YGL034C
7	435625	436401	+	YGL033W
7	436570	436833	-	YGL032C
11	316437	317057	-	YKL065C
11	317764	320673	+	YKL064W
11	321015	321518	-	YKL063C
11	323228	325120	+	YKL062W
11	325771	326112	+	YKL061W
11	330856	333969	-	YKL057C
11	334412	334915	-	YKL056C
11	360143	360817	+	YKL041W
11	361058	361828	-	YKL040C
11	362622	364193	+	YKL039W
11	365605	369117	+	YKL038W
11	369365	369721	+	YKL037W
11	369528	369920	-	YKL036C
11	371829	374105	+	YKL034W
11	374505	375215	+	YKL033W-A
12	1028854	1029768	+	YLR448W
12	1030834	1032012	+	YLR449W
12	1032627	1035764	+	YLR450W
12	1036093	1038753	+	YLR451W
12	1039270	1041366	-	YLR452C
12	1041799	1042986	-	YLR453C
12	1043998	1051884	+	YLR454W
13	335298	337307	+	YMR032W
13	339418	340722	-	YMR034C
13	341856	343520	-	YMR036C
13	344403	346517	-	YMR037C
13	347511	348260	-	YMR038C
13	348644	349522	-	YMR039C
13	350381	350863	+	YMR040W
15	525278	528601	+	YOR109W
15	530429	531127	+	YOR111W
15	531508	533793	+	YOR112W
15	534075	536819	+	YOR113W
15	537570	538454	+	YOR114W
15	538659	539465	-	YOR115C
15	546857	548560	+	YOR118W
16	71063	73006	-	YPL253C
16	74309	74719	-	YPL250C
16	76669	79353	-	YPL249C
16	79711	82356	-	YPL248C
16	82625	84196	-	YPL247C
16	84509	85297	-	YPL246C
16	85586	86950	+	YPL245W
