Scer_1	0	8	4	1
Scer_2	8	34	15	2
Scer_3	34	44	37	3
Scer_4	44	92	58	4
Scer_5	92	111	96	5
Scer_6	111	120	115	6
Scer_7	120	155	135	7
Scer_8	155	173	158	8
Scer_9	173	187	184	9
Scer_10	187	211	200	10
Scer_11	211	232	224	11
Scer_12	232	266	236	12
Scer_13	266	295	274	13
Scer_14	295	320	314	14
Scer_15	320	355	330	15
Scer_16	355	385	372	16
Sbay_1	385	391	389	1
Sbay_2	391	432	398	2
Sbay_3	432	442	435	3
Sbay_4	442	473	455	4
Sbay_5	473	490	476	5
Sbay_6	490	507	493	6
Sbay_7	507	540	522	7
Sbay_8	540	566	543	8
Sbay_9	566	580	576	9
Sbay_10	580	594	584	10
Sbay_11	594	614	607	11
Sbay_12	614	646	617	12
Sbay_13	646	675	654	13
Sbay_14	675	699	694	14
Sbay_15	699	723	708	15
Sbay_16	723	752	740	16
